USER_ID,GENDER,CUSTOMER_TYPE,ACTIVITY,HAVE_RETENTION,BAD_REFERENCE_COUNTER,MARITAL_STATUS,NUMBER_OF_DEPENDENTS,NUMBER_OF_CHILDREN,LEVEL_OF_STUDY,HAVE_ASSETS,AMOUNT_OF_INCOME,AMOUNT_OF_EXPENSE
1,FEMALE,P,333323321,S,1,MARRIED,2,,7,,,0.00
2,FEMALE,P,0117,N,1,MARRIED,1,,7,,20000.00,0.00
3,FEMALE,P,,N,1,SINGLE,,,,,,0.00
4,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
5,FEMALE,P,,S,1,SINGLE,,,,,,0.00
6,FEMALE,P,,N,1,SINGLE,1,,7,,3000.00,0.00
7,FEMALE,P,,S,1,SINGLE,,,,,,0.00
8,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
9,FEMALE,P,0117,N,1,MARRIED,1,,7,,2200.00,0.00
10,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
11,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
12,FEMALE,P,266,N,1,MARRIED,1,,7,,0.01,0.00
13,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
14,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
15,FEMALE,P,,N,1,MARRIED,1,,7,,1111.00,0.00
16,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
17,FEMALE,P,,S,1,MARRIED,0,,005,,5000.00,0.00
18,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
19,FEMALE,P,,S,1,MARRIED,1,,005,,,0.00
20,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
21,FEMALE,P,0117,N,1,SINGLE,1,,7,,500.00,0.00
22,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
23,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
24,FEMALE,P,,N,1,MARRIED,1,,,,,0.00
25,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
26,FEMALE,P,010140147,S,1,SINGLE,1,,005,,10000.00,0.00
27,FEMALE,P,11199,N,1,SINGLE,3,,,,,0.00
28,FEMALE,P,0117,N,1,MARRIED,1,,7,,2420.00,0.00
29,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
30,FEMALE,P,0117,N,1,SINGLE,1,,7,,42000.00,0.00
31,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
32,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
33,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
34,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
35,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
36,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
37,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
38,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
39,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
40,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
42,FEMALE,P,,S,1,MARRIED,,,,,0.01,0.00
43,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
44,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
45,FEMALE,P,,S,5,MARRIED,,,,,10.00,0.00
46,FEMALE,P,,S,1,SINGLE,1,,,,,0.00
47,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
48,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
49,FEMALE,P,0117,N,1,MARRIED,1,,7,,2655.00,0.00
50,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
51,FEMALE,P,0117,N,1,MARRIED,1,,7,,2127.62,0.00
52,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
53,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
54,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
55,FEMALE,P,0117,N,1,SINGLE,1,,7,,520.00,0.00
56,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
57,FEMALE,P,0117,N,1,SINGLE,1,,7,,600.00,0.00
58,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
59,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
60,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
61,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
62,FEMALE,P,,S,1,SINGLE,,,,,,0.00
63,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
64,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
65,FEMALE,P,,S,1,SINGLE,0,,,,,0.00
66,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
67,FEMALE,P,,S,1,MARRIED,,,,,,0.00
68,FEMALE,P,0117,N,1,MARRIED,1,,7,,2500.00,0.00
69,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
70,FEMALE,P,,N,1,MARRIED,,,,,,0.00
71,FEMALE,P,,S,1,MARRIED,,,,,,0.00
72,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
73,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
